BinCenter;Histo01;Histo02;Histo03;Histo04
65453.5;14;101;101;0
65466.5;13;98;98;0
65479.5;14;99;99;0
65492.5;12;100;100;0
65505.5;22;86;86;0
65518.5;16;63;63;0
65531.5;13;63;63;0
65544.5;21;84;84;0
65557.5;18;65;65;0
65570.5;22;68;68;0
65583.5;20;79;79;0
65596.5;14;68;68;0
65609.5;8;67;67;0
65622.5;19;57;57;0
65635.5;19;56;56;0
65648.5;15;64;64;0
65661.5;16;44;44;0
65674.5;14;58;58;0
65687.5;15;36;36;0
65700.5;7;44;44;0
65713.5;14;47;47;0
65726.5;17;38;38;0
65739.5;13;50;50;0
65752.5;10;37;37;0
65765.5;21;42;42;0
65778.5;24;42;42;0
65791.5;12;28;28;0
65804.5;17;38;38;0
65817.5;15;37;37;0
65830.5;14;51;51;0
65843.5;21;37;37;0
65856.5;16;35;35;0
65869.5;21;36;36;0
65882.5;20;33;33;0
65895.5;17;26;26;0
65908.5;8;35;35;0
65921.5;10;29;29;0
65934.5;13;29;29;0
65947.5;15;23;23;0
65960.5;16;29;29;0
65973.5;12;29;29;0
65986.5;21;24;24;0
65999.5;16;19;19;0
66012.5;12;17;17;0
66025.5;15;31;31;0
66038.5;16;24;24;0
66051.5;10;23;23;0
66064.5;20;23;23;0
66077.5;10;29;29;0
66090.5;15;27;27;0
66103.5;15;25;25;0
66116.5;11;23;23;0
66129.5;16;27;27;0
66142.5;13;25;25;0
66155.5;12;27;27;0
66168.5;11;20;20;0
66181.5;18;31;31;0
66194.5;8;25;25;0
66207.5;17;22;22;0
66220.5;16;24;24;0
66233.5;18;24;24;0
66246.5;17;18;18;0
66259.5;16;27;27;0
66272.5;10;27;27;0
66285.5;14;19;19;0
66298.5;14;20;20;0
66311.5;17;21;21;0
66324.5;17;23;23;0
66337.5;12;21;21;0
66350.5;12;20;20;0
66363.5;11;16;16;0
66376.5;15;28;28;0
66389.5;20;17;17;0
66402.5;15;22;22;0
66415.5;17;18;18;0
66428.5;13;19;19;0
66441.5;11;30;30;0
66454.5;15;18;18;0
66467.5;10;12;12;0
66480.5;7;28;28;0
66493.5;10;16;16;0
66506.5;21;18;18;0
66519.5;17;25;25;0
66532.5;13;12;12;0
66545.5;16;21;21;0
66558.5;9;17;17;0
66571.5;13;18;18;0
66584.5;11;18;18;0
66597.5;16;17;17;0
66610.5;13;20;20;0
66623.5;8;15;15;0
66636.5;14;21;21;0
66649.5;12;22;22;0
66662.5;16;21;21;0
66675.5;12;24;24;0
66688.5;10;16;16;0
66701.5;13;22;22;0
66714.5;15;15;15;0
66727.5;8;18;18;0
66740.5;15;23;23;0
66753.5;7;16;16;0
66766.5;12;14;14;0
66779.5;11;23;23;0
66792.5;16;23;23;0
66805.5;12;23;23;0
66818.5;6;16;16;0
66831.5;12;13;13;0
66844.5;16;15;15;0
66857.5;10;19;19;0
66870.5;14;19;19;0
66883.5;20;17;17;0
66896.5;13;20;20;0
66909.5;6;23;23;0
66922.5;18;15;15;0
66935.5;16;16;16;0
66948.5;20;21;21;0
66961.5;10;16;16;0
66974.5;12;14;14;0
66987.5;16;13;13;0
67000.5;10;8;8;0
67013.5;9;18;18;0
67026.5;10;19;19;0
67039.5;9;16;16;0
67052.5;20;18;18;0
67065.5;14;15;15;0
67078.5;17;16;16;0
67091.5;16;30;30;0
